Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
burdekin,haughton,NA,urban/intensive,2009,4156.4,61.7,1.5,4.5,7.8,2009 to 1999
burdekin,haughton,NA,urban/intensive,2016,4153.9,64.7,1.6,3,4.9,2016 to 2009
burdekin,haughton,NA,urban/intensive,2021,4065.4,71.2,1.8,6.5,10.1,2021 to 2016
dry tropics,black,NA,urban/intensive,1999,1156.8,55.2,4.8,0,0,1999 to 1999
dry tropics,black,NA,urban/intensive,2009,1156,59.2,5.1,4,7.3,2009 to 1999
dry tropics,black,NA,urban/intensive,2016,1156.7,61.1,5.3,1.9,3.2,2016 to 2009
dry tropics,black,NA,urban/intensive,2021,1145.1,62.1,5.4,0.9,1.5,2021 to 2016
dry tropics,ross,NA,urban/intensive,1999,1775.2,180.6,10.2,0,0,1999 to 1999
dry tropics,ross,NA,urban/intensive,2009,1778.8,206.2,11.6,25.7,14.2,2009 to 1999
dry tropics,ross,NA,urban/intensive,2016,1775.7,218.3,12.3,12,5.8,2016 to 2009
dry tropics,ross,NA,urban/intensive,2021,1754.9,223.4,12.7,5.2,2.4,2021 to 2016
mackay whitsunday isaac,don,NA,urban/intensive,1999,3920.1,47,1.2,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,urban/intensive,2009,3872.2,51.2,1.3,4.2,9,2009 to 1999
mackay whitsunday isaac,don,NA,urban/intensive,2016,3865.1,51.8,1.3,0.5,1,2016 to 2009
mackay whitsunday isaac,don,NA,urban/intensive,2021,3750.8,52.4,1.4,0.6,1.1,2021 to 2016
mackay whitsunday isaac,o'connell,NA,urban/intensive,1999,2444.9,79.2,3.2,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,urban/intensive,2009,2444.9,91.2,3.7,12,15.1,2009 to 1999
mackay whitsunday isaac,o'connell,NA,urban/intensive,2016,2444.9,94.6,3.9,3.4,3.7,2016 to 2009
mackay whitsunday isaac,o'connell,NA,urban/intensive,2021,2445,94.8,3.9,0.3,0.3,2021 to 2016
mackay whitsunday isaac,pioneer,NA,urban/intensive,1999,1571.2,58.3,3.7,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,urban/intensive,2009,1571.2,64.4,4.1,6.2,10.6,2009 to 1999
mackay whitsunday isaac,pioneer,NA,urban/intensive,2016,1571.2,66.8,4.3,2.4,3.8,2016 to 2009
mackay whitsunday isaac,pioneer,NA,urban/intensive,2021,1574.9,68,4.3,1.2,1.7,2021 to 2016
mackay whitsunday isaac,plane,NA,urban/intensive,1999,2559.9,120.1,4.7,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,urban/intensive,2009,2559.9,135.6,5.3,15.5,12.9,2009 to 1999
mackay whitsunday isaac,plane,NA,urban/intensive,2016,2559.9,141.4,5.5,5.8,4.3,2016 to 2009
mackay whitsunday isaac,plane,NA,urban/intensive,2021,2623.1,136.5,5.2,-4.8,-3.4,2021 to 2016
mackay whitsunday isaac,proserpine,NA,urban/intensive,1999,2771.3,68.9,2.5,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,urban/intensive,2009,2771.2,82.8,3,13.9,20.1,2009 to 1999
mackay whitsunday isaac,proserpine,NA,urban/intensive,2016,2771.2,88.2,3.2,5.4,6.5,2016 to 2009
mackay whitsunday isaac,proserpine,NA,urban/intensive,2021,2770.7,97.8,3.5,9.6,10.9,2021 to 2016
wet tropics,barron,NA,urban/intensive,1999,2381.4,143.6,6,0,0,1999 to 1999
wet tropics,barron,NA,urban/intensive,2009,2368.3,157.2,6.6,13.6,9.5,2009 to 1999
wet tropics,barron,NA,urban/intensive,2015,2385,162.3,6.8,5.1,3.2,2015 to 2009
wet tropics,barron,NA,urban/intensive,2021,2192.8,173.8,7.9,11.5,7.1,2021 to 2015
wet tropics,daintree,NA,urban/intensive,1999,2123.3,21.2,1,0,0,1999 to 1999
wet tropics,daintree,NA,urban/intensive,2009,2120.6,24,1.1,2.8,13.1,2009 to 1999
wet tropics,daintree,NA,urban/intensive,2015,2115.7,24.9,1.2,0.9,3.9,2015 to 2009
wet tropics,daintree,NA,urban/intensive,2021,2104.8,27.4,1.3,2.5,10.1,2021 to 2015
wet tropics,herbert,NA,urban/intensive,1999,10001.3,72.9,0.7,0,0,1999 to 1999
wet tropics,herbert,NA,urban/intensive,2009,9994.8,77,0.8,4.1,5.6,2009 to 1999
wet tropics,herbert,NA,urban/intensive,2015,9950.2,78.6,0.8,1.7,2.2,2015 to 2009
wet tropics,herbert,NA,urban/intensive,2021,9871.2,80.9,0.8,2.2,2.8,2021 to 2015
wet tropics,johnstone,NA,urban/intensive,1999,2459.7,76.1,3.1,0,0,1999 to 1999
wet tropics,johnstone,NA,urban/intensive,2009,2456.4,82.3,3.3,6.2,8.2,2009 to 1999
wet tropics,johnstone,NA,urban/intensive,2015,2455.5,87,3.5,4.7,5.7,2015 to 2009
wet tropics,johnstone,NA,urban/intensive,2021,2316.9,81.5,3.5,-5.5,-6.3,2021 to 2015
wet tropics,mossman,NA,urban/intensive,1999,513.4,25.4,4.9,0,0,1999 to 1999
wet tropics,mossman,NA,urban/intensive,2009,498,29.1,5.8,3.7,14.6,2009 to 1999
wet tropics,mossman,NA,urban/intensive,2015,496,30.3,6.1,1.2,4.1,2015 to 2009
wet tropics,mossman,NA,urban/intensive,2021,465.4,33.1,7.1,2.9,9.4,2021 to 2015
wet tropics,mulgrave,NA,urban/intensive,1999,1332.9,72.7,5.5,0,0,1999 to 1999
wet tropics,mulgrave,NA,urban/intensive,2009,1333.3,80.6,6,8,11,2009 to 1999
wet tropics,mulgrave,NA,urban/intensive,2015,1332.9,82.7,6.2,2.1,2.6,2015 to 2009
wet tropics,mulgrave,NA,urban/intensive,2021,1319.3,87.6,6.6,4.9,5.9,2021 to 2015
wet tropics,murray,NA,urban/intensive,1999,1516.4,14.9,1,0,0,1999 to 1999
wet tropics,murray,NA,urban/intensive,2009,1514.3,17.4,1.1,2.5,16.5,2009 to 1999
wet tropics,murray,NA,urban/intensive,2015,1514.9,18.2,1.2,0.9,4.9,2015 to 2009
wet tropics,murray,NA,urban/intensive,2021,1501.3,18.2,1.2,0,0.1,2021 to 2015
wet tropics,russell,NA,urban/intensive,1999,718.4,9.4,1.3,0,0,1999 to 1999
wet tropics,russell,NA,urban/intensive,2009,695.6,10.7,1.5,1.3,13.8,2009 to 1999
wet tropics,russell,NA,urban/intensive,2015,696.1,9.9,1.4,-0.8,-7.4,2015 to 2009
wet tropics,russell,NA,urban/intensive,2021,670.3,10.1,1.5,0.2,1.7,2021 to 2015
wet tropics,tully,NA,urban/intensive,1999,1718,22.7,1.3,0,0,1999 to 1999
wet tropics,tully,NA,urban/intensive,2009,1711.8,24.1,1.4,1.4,6.2,2009 to 1999
wet tropics,tully,NA,urban/intensive,2015,1712.8,25.2,1.5,1.1,4.7,2015 to 2009
wet tropics,tully,NA,urban/intensive,2021,1684,25.3,1.5,0,0.1,2021 to 2015
burdekin,burdekin,NA,water,1999,133447.3,2586.6,1.9,0,0,1999 to 1999
burdekin,burdekin,NA,water,2009,133941.7,2594.5,1.9,7.9,0.3,2009 to 1999
burdekin,burdekin,NA,water,2016,133163.3,2595.3,1.9,0.9,0,2016 to 2009
burdekin,burdekin,NA,water,2021,130046.9,2601.7,2,6.3,0.2,2021 to 2016
burdekin,haughton,NA,water,1999,4156.2,334.3,8,0,0,1999 to 1999
burdekin,haughton,NA,water,2009,4156.4,333,8,-1.3,-0.4,2009 to 1999
burdekin,haughton,NA,water,2016,4153.9,326.2,7.9,-6.8,-2,2016 to 2009
burdekin,haughton,NA,water,2021,4065.4,304.4,7.5,-21.8,-6.7,2021 to 2016
dry tropics,black,NA,water,1999,1156.8,32.1,2.8,0,0,1999 to 1999
dry tropics,black,NA,water,2009,1156,30.6,2.6,-1.5,-4.5,2009 to 1999
dry tropics,black,NA,water,2016,1156.7,30.6,2.6,0,0.1,2016 to 2009
dry tropics,black,NA,water,2021,1145.1,29.4,2.6,-1.3,-4.1,2021 to 2016
dry tropics,ross,NA,water,1999,1775.2,140.1,7.9,0,0,1999 to 1999
dry tropics,ross,NA,water,2009,1778.8,139.5,7.8,-0.7,-0.5,2009 to 1999
dry tropics,ross,NA,water,2016,1775.7,137.9,7.8,-1.6,-1.1,2016 to 2009
dry tropics,ross,NA,water,2021,1754.9,137.5,7.8,-0.5,-0.3,2021 to 2016
mackay whitsunday isaac,don,NA,water,1999,3920.1,299.5,7.6,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,water,2009,3872.2,301.8,7.8,2.4,0.8,2009 to 1999
mackay whitsunday isaac,don,NA,water,2016,3865.1,303.9,7.9,2.1,0.7,2016 to 2009
mackay whitsunday isaac,don,NA,water,2021,3750.8,295.9,7.9,-8,-2.6,2021 to 2016
mackay whitsunday isaac,o'connell,NA,water,1999,2444.9,185.5,7.6,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,water,2009,2444.9,186.8,7.6,1.3,0.7,2009 to 1999
mackay whitsunday isaac,o'connell,NA,water,2016,2444.9,187.1,7.7,0.4,0.2,2016 to 2009
mackay whitsunday isaac,o'connell,NA,water,2021,2445,186.3,7.6,-0.8,-0.4,2021 to 2016
mackay whitsunday isaac,pioneer,NA,water,1999,1571.2,55.1,3.5,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,water,2009,1571.2,55,3.5,-0.1,-0.2,2009 to 1999
mackay whitsunday isaac,pioneer,NA,water,2016,1571.2,55.1,3.5,0.1,0.2,2016 to 2009
mackay whitsunday isaac,pioneer,NA,water,2021,1574.9,55.2,3.5,0.1,0.1,2021 to 2016
mackay whitsunday isaac,plane,NA,water,1999,2559.9,227.2,8.9,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,water,2009,2559.9,223.4,8.7,-3.8,-1.7,2009 to 1999
mackay whitsunday isaac,plane,NA,water,2016,2559.9,222.2,8.7,-1.2,-0.5,2016 to 2009
mackay whitsunday isaac,plane,NA,water,2021,2623.1,258.4,9.9,36.2,16.3,2021 to 2016
mackay whitsunday isaac,proserpine,NA,water,1999,2771.3,180.2,6.5,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,water,2009,2771.2,181.5,6.5,1.2,0.7,2009 to 1999
mackay whitsunday isaac,proserpine,NA,water,2016,2771.2,182.4,6.6,0.9,0.5,2016 to 2009
mackay whitsunday isaac,proserpine,NA,water,2021,2770.7,177.2,6.4,-5.2,-2.8,2021 to 2016
wet tropics,barron,NA,water,1999,2381.4,77.2,3.2,0,0,1999 to 1999
wet tropics,barron,NA,water,2009,2368.3,77.7,3.3,0.5,0.7,2009 to 1999
wet tropics,barron,NA,water,2015,2385,78,3.3,0.3,0.4,2015 to 2009
wet tropics,barron,NA,water,2021,2192.8,79,3.6,1,1.3,2021 to 2015
wet tropics,daintree,NA,water,1999,2123.3,59,2.8,0,0,1999 to 1999
wet tropics,daintree,NA,water,2009,2120.6,56.1,2.6,-2.9,-4.9,2009 to 1999
wet tropics,daintree,NA,water,2015,2115.7,53.5,2.5,-2.6,-4.7,2015 to 2009
wet tropics,daintree,NA,water,2021,2104.8,53.5,2.5,0,0,2021 to 2015
wet tropics,herbert,NA,water,1999,10001.3,431.5,4.3,0,0,1999 to 1999
wet tropics,herbert,NA,water,2009,9994.8,428.2,4.3,-3.4,-0.8,2009 to 1999
wet tropics,herbert,NA,water,2015,9950.2,414,4.2,-14.1,-3.3,2015 to 2009
wet tropics,herbert,NA,water,2021,9871.2,423.3,4.3,9.2,2.2,2021 to 2015
wet tropics,johnstone,NA,water,1999,2459.7,51.7,2.1,0,0,1999 to 1999
wet tropics,johnstone,NA,water,2009,2456.4,51.6,2.1,-0,-0.1,2009 to 1999
wet tropics,johnstone,NA,water,2015,2455.5,51.6,2.1,0,0,2015 to 2009
wet tropics,johnstone,NA,water,2021,2316.9,56.4,2.4,4.7,9.2,2021 to 2015
wet tropics,mossman,NA,water,1999,513.4,20.5,4,0,0,1999 to 1999
wet tropics,mossman,NA,water,2009,498,20.6,4.1,0.1,0.6,2009 to 1999
wet tropics,mossman,NA,water,2015,496,20.7,4.2,0,0.1,2015 to 2009
wet tropics,mossman,NA,water,2021,465.4,20.7,4.4,0,0,2021 to 2015
wet tropics,mulgrave,NA,water,1999,1332.9,91.3,6.8,0,0,1999 to 1999
wet tropics,mulgrave,NA,water,2009,1333.3,88.9,6.7,-2.4,-2.6,2009 to 1999
wet tropics,mulgrave,NA,water,2015,1332.9,88.9,6.7,-0,-0,2015 to 2009
wet tropics,mulgrave,NA,water,2021,1319.3,90.9,6.9,1.9,2.2,2021 to 2015
wet tropics,murray,NA,water,1999,1516.4,44.6,2.9,0,0,1999 to 1999
wet tropics,murray,NA,water,2009,1514.3,30.8,2,-13.8,-31,2009 to 1999
wet tropics,murray,NA,water,2015,1514.9,30.3,2,-0.5,-1.7,2015 to 2009
wet tropics,murray,NA,water,2021,1501.3,30.3,2,0,0,2021 to 2015
wet tropics,russell,NA,water,1999,718.4,19.4,2.7,0,0,1999 to 1999
wet tropics,russell,NA,water,2009,695.6,19.4,2.8,-0,-0.1,2009 to 1999
wet tropics,russell,NA,water,2015,696.1,19.4,2.8,0,0,2015 to 2009
wet tropics,russell,NA,water,2021,670.3,19.2,2.9,-0.3,-1.4,2021 to 2015
wet tropics,tully,NA,water,1999,1718,43.6,2.5,0,0,1999 to 1999
wet tropics,tully,NA,water,2009,1711.8,43.6,2.5,0,0,2009 to 1999
wet tropics,tully,NA,water,2015,1712.8,43.8,2.6,0.2,0.4,2015 to 2009
wet tropics,tully,NA,water,2021,1684,43.8,2.6,0,0.1,2021 to 2015
burdekin,burdekin,belyando,conservation,1999,36750.6,644.6,1.8,0,0,1999 to 1999
burdekin,burdekin,belyando,conservation,2009,36972.8,810,2.2,165.4,25.7,2009 to 1999
burdekin,burdekin,belyando,conservation,2016,36042.5,815.3,2.3,5.3,0.7,2016 to 2009
burdekin,burdekin,belyando,conservation,2021,35412.7,848.9,2.4,33.6,4.1,2021 to 2016
burdekin,burdekin,broke bogie,conservation,1999,11999.6,766.8,6.4,0,0,1999 to 1999
burdekin,burdekin,broke bogie,conservation,2009,12195.9,883.5,7.2,116.7,15.2,2009 to 1999
burdekin,burdekin,broke bogie,conservation,2016,12226.5,960.2,7.9,76.7,8.7,2016 to 2009
burdekin,burdekin,broke bogie,conservation,2021,11722.3,910,7.8,-50.2,-5.2,2021 to 2016
burdekin,burdekin,cape campaspe,conservation,1999,20626.4,673.7,3.3,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,conservation,2009,20630.3,673.4,3.3,-0.3,-0,2009 to 1999
burdekin,burdekin,cape campaspe,conservation,2016,20584.4,672.5,3.3,-0.9,-0.1,2016 to 2009
burdekin,burdekin,cape campaspe,conservation,2021,20448.4,584.7,2.9,-87.9,-13.1,2021 to 2016
burdekin,burdekin,lower burdekin,conservation,1999,3794.4,46.7,1.2,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,conservation,2009,3801.8,46.3,1.2,-0.4,-0.9,2009 to 1999
burdekin,burdekin,lower burdekin,conservation,2016,3802.7,46.3,1.2,0,0.1,2016 to 2009
burdekin,burdekin,lower burdekin,conservation,2021,3757.2,184.8,4.9,138.4,298.7,2021 to 2016
burdekin,burdekin,suttor,conservation,1999,19585.6,405,2.1,0,0,1999 to 1999
burdekin,burdekin,suttor,conservation,2009,19650.3,421.6,2.1,16.7,4.1,2009 to 1999
burdekin,burdekin,suttor,conservation,2016,19556.7,420.3,2.1,-1.3,-0.3,2016 to 2009
burdekin,burdekin,suttor,conservation,2021,18206.9,373,2,-47.2,-11.2,2021 to 2016
burdekin,burdekin,upper burdekin,conservation,1999,40690.7,3030.7,7.4,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,conservation,2009,40690.7,4240.2,10.4,1209.5,39.9,2009 to 1999
burdekin,burdekin,upper burdekin,conservation,2016,40950.4,4958.6,12.1,718.4,16.9,2016 to 2009
burdekin,burdekin,upper burdekin,conservation,2021,40499.4,7967.4,19.7,3008.9,60.7,2021 to 2016
burdekin,haughton,haughton,conservation,1999,4156.2,563.5,13.6,0,0,1999 to 1999
burdekin,haughton,haughton,conservation,2009,4156.4,584.2,14.1,20.6,3.7,2009 to 1999
burdekin,haughton,haughton,conservation,2016,4153.9,595.5,14.3,11.3,1.9,2016 to 2009
burdekin,haughton,haughton,conservation,2021,4065.4,553,13.6,-42.5,-7.1,2021 to 2016
dry tropics,black,black river,conservation,1999,305.3,37.8,12.4,0,0,1999 to 1999
dry tropics,black,black river,conservation,2009,304.8,36.2,11.9,-1.6,-4.1,2009 to 1999
dry tropics,black,black river,conservation,2016,304.9,38.5,12.6,2.2,6.2,2016 to 2009
dry tropics,black,black river,conservation,2021,301.5,50.5,16.7,12,31.1,2021 to 2016
dry tropics,black,bluewater creek,conservation,1999,296.4,30.6,10.3,0,0,1999 to 1999
dry tropics,black,bluewater creek,conservation,2009,296.1,49.2,16.6,18.6,60.8,2009 to 1999
dry tropics,black,bluewater creek,conservation,2016,296.7,81.4,27.4,32.2,65.5,2016 to 2009
dry tropics,black,bluewater creek,conservation,2021,291.4,81.3,27.9,-0.1,-0.1,2021 to 2016
dry tropics,black,crystal creek,conservation,1999,239.7,136.8,57.1,0,0,1999 to 1999
dry tropics,black,crystal creek,conservation,2009,239.7,184.9,77.1,48.1,35.1,2009 to 1999
dry tropics,black,crystal creek,conservation,2016,239.6,184.7,77.1,-0.2,-0.1,2016 to 2009
dry tropics,black,crystal creek,conservation,2021,238.9,160,67,-24.7,-13.4,2021 to 2016
dry tropics,black,palm islands,conservation,1999,86.3,84.4,97.7,0,0,1999 to 1999
dry tropics,black,palm islands,conservation,2009,86.3,84.4,97.7,0,0,2009 to 1999
dry tropics,black,palm islands,conservation,2016,86.3,84.2,97.6,-0.1,-0.1,2016 to 2009
dry tropics,black,palm islands,conservation,2021,86.3,84.2,97.6,0,0,2021 to 2016
dry tropics,black,paluma lake,conservation,1999,5.1,2.7,52.4,0,0,1999 to 1999
dry tropics,black,paluma lake,conservation,2009,5.1,2.7,53.2,0,1.4,2009 to 1999
dry tropics,black,paluma lake,conservation,2016,5.1,2.7,53.2,0,0,2016 to 2009
dry tropics,black,paluma lake,conservation,2021,5.1,2.7,53.2,0,0,2021 to 2016
dry tropics,black,rollingstone creek,conservation,1999,224,46.1,20.6,0,0,1999 to 1999
dry tropics,black,rollingstone creek,conservation,2009,224,124.4,55.5,78.4,170.1,2009 to 1999
dry tropics,black,rollingstone creek,conservation,2016,224.1,124.4,55.5,-0.1,-0.1,2016 to 2009
dry tropics,black,rollingstone creek,conservation,2021,221.8,113.6,51.2,-10.7,-8.6,2021 to 2016
dry tropics,black,ross river (upper),conservation,1999,0,0,100,0,0,1999 to 1999
dry tropics,black,ross river (upper),conservation,2009,0,0,100,0,0,2009 to 1999
dry tropics,black,ross river (upper),conservation,2016,0,0,100,0,0,2016 to 2009
dry tropics,black,ross river (upper),conservation,2021,0,0,100,0,0,2021 to 2016
dry tropics,ross,alligator creek,conservation,1999,368.2,232,63,0,0,1999 to 1999
dry tropics,ross,alligator creek,conservation,2009,369.1,231.8,62.8,-0.2,-0.1,2009 to 1999
dry tropics,ross,alligator creek,conservation,2016,369.4,234,63.4,2.2,1,2016 to 2009
dry tropics,ross,alligator creek,conservation,2021,360.1,233.7,64.9,-0.3,-0.1,2021 to 2016
dry tropics,ross,black river,conservation,1999,0,0,100,0,0,1999 to 1999
dry tropics,ross,black river,conservation,2009,0,0,100,0,0,2009 to 1999
dry tropics,ross,black river,conservation,2016,0,0,100,0,0,2016 to 2009
dry tropics,ross,black river,conservation,2021,0,0,100,0,0,2021 to 2016
dry tropics,ross,bohle river,conservation,1999,332,49.9,15,0,0,1999 to 1999
dry tropics,ross,bohle river,conservation,2009,332.7,57.2,17.2,7.3,14.5,2009 to 1999
dry tropics,ross,bohle river,conservation,2016,331,68.1,20.6,10.9,19,2016 to 2009
dry tropics,ross,bohle river,conservation,2021,328.5,66.9,20.4,-1.2,-1.7,2021 to 2016
dry tropics,ross,magnetic island,conservation,1999,50.7,42.9,84.5,0,0,1999 to 1999
dry tropics,ross,magnetic island,conservation,2009,50.7,42.6,83.9,-0.3,-0.7,2009 to 1999
dry tropics,ross,magnetic island,conservation,2016,50.7,42.4,83.6,-0.2,-0.4,2016 to 2009
dry tropics,ross,magnetic island,conservation,2021,50.7,42.4,83.6,0,0,2021 to 2016
dry tropics,ross,ross river (lower),conservation,1999,134.3,51.9,38.6,0,0,1999 to 1999
dry tropics,ross,ross river (lower),conservation,2009,133.9,48.7,36.4,-3.2,-6.2,2009 to 1999
dry tropics,ross,ross river (lower),conservation,2016,133.9,47,35.1,-1.7,-3.4,2016 to 2009
dry tropics,ross,ross river (lower),conservation,2021,133.9,46.4,34.7,-0.6,-1.3,2021 to 2016
dry tropics,ross,ross river (upper),conservation,1999,765.2,98.4,12.9,0,0,1999 to 1999
dry tropics,ross,ross river (upper),conservation,2009,767.5,98.4,12.8,-0,-0,2009 to 1999
dry tropics,ross,ross river (upper),conservation,2016,768.1,98.4,12.8,0,0,2016 to 2009
dry tropics,ross,ross river (upper),conservation,2021,760.8,128.9,16.9,30.5,31,2021 to 2016
dry tropics,ross,stuart creek,conservation,1999,124.8,21.2,17,0,0,1999 to 1999
dry tropics,ross,stuart creek,conservation,2009,124.9,19.8,15.9,-1.4,-6.6,2009 to 1999
dry tropics,ross,stuart creek,conservation,2016,122.6,19.5,15.9,-0.3,-1.8,2016 to 2009
dry tropics,ross,stuart creek,conservation,2021,120.8,19.5,16.1,-0,-0.1,2021 to 2016
mackay whitsunday isaac,don,don,conservation,1999,3920.1,230.4,5.9,0,0,1999 to 1999
mackay whitsunday isaac,don,don,conservation,2009,3872.2,243.7,6.3,13.3,5.8,2009 to 1999
mackay whitsunday isaac,don,don,conservation,2016,3865.1,230.7,6,-13,-5.3,2016 to 2009
mackay whitsunday isaac,don,don,conservation,2021,3750.8,207.2,5.5,-23.5,-10.2,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,conservation,1999,2444.9,662.9,27.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,conservation,2009,2444.9,690.9,28.3,28,4.2,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,conservation,2016,2444.9,704.2,28.8,13.3,1.9,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,conservation,2021,2445,510.8,20.9,-193.4,-27.5,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,conservation,1999,1571.2,395.8,25.2,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,pioneer,conservation,2009,1571.2,386.8,24.6,-9,-2.3,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,conservation,2016,1571.2,463.2,29.5,76.4,19.7,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,conservation,2021,1574.9,335.7,21.3,-127.5,-27.5,2021 to 2016
mackay whitsunday isaac,plane,plane,conservation,1999,2559.9,871.7,34.1,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,conservation,2009,2559.9,872.7,34.1,1,0.1,2009 to 1999
mackay whitsunday isaac,plane,plane,conservation,2016,2559.9,830.8,32.5,-41.9,-4.8,2016 to 2009
mackay whitsunday isaac,plane,plane,conservation,2021,2623.1,448.3,17.1,-382.4,-46,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,conservation,1999,2771.3,889.3,32.1,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,conservation,2009,2771.2,922,33.3,32.7,3.7,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,conservation,2016,2771.2,994.5,35.9,72.5,7.9,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,conservation,2021,2770.7,876.4,31.6,-118.1,-11.9,2021 to 2016
wet tropics,barron,barron,conservation,1999,2381.4,227.6,9.6,0,0,1999 to 1999
wet tropics,barron,barron,conservation,2009,2368.3,633.1,26.7,405.6,178.2,2009 to 1999
wet tropics,barron,barron,conservation,2015,2385,788.4,33.1,155.2,24.5,2015 to 2009
wet tropics,barron,barron,conservation,2021,2192.8,766.5,35,-21.9,-2.8,2021 to 2015
wet tropics,daintree,daintree,conservation,1999,2123.3,843.7,39.7,0,0,1999 to 1999
wet tropics,daintree,daintree,conservation,2009,2120.6,938.9,44.3,95.1,11.3,2009 to 1999
wet tropics,daintree,daintree,conservation,2015,2115.7,1824.4,86.2,885.5,94.3,2015 to 2009
wet tropics,daintree,daintree,conservation,2021,2104.8,1815.2,86.2,-9.2,-0.5,2021 to 2015
wet tropics,herbert,herbert,conservation,1999,10001.3,2615.1,26.1,0,0,1999 to 1999
wet tropics,herbert,herbert,conservation,2009,9994.8,2906.7,29.1,291.6,11.2,2009 to 1999
wet tropics,herbert,herbert,conservation,2015,9950.2,2910.9,29.3,4.2,0.1,2015 to 2009
wet tropics,herbert,herbert,conservation,2021,9871.2,3062.6,31,151.7,5.2,2021 to 2015
wet tropics,johnstone,johnstone,conservation,1999,2459.7,697,28.3,0,0,1999 to 1999
wet tropics,johnstone,johnstone,conservation,2009,2456.4,1305.4,53.1,608.4,87.3,2009 to 1999
wet tropics,johnstone,johnstone,conservation,2015,2455.5,1325.9,54,20.5,1.6,2015 to 2009
wet tropics,johnstone,johnstone,conservation,2021,2316.9,1290.4,55.7,-35.5,-2.7,2021 to 2015
wet tropics,mossman,mossman,conservation,1999,513.4,242.5,47.2,0,0,1999 to 1999
wet tropics,mossman,mossman,conservation,2009,498,382.7,76.9,140.2,57.8,2009 to 1999
wet tropics,mossman,mossman,conservation,2015,496,380.5,76.7,-2.2,-0.6,2015 to 2009
wet tropics,mossman,mossman,conservation,2021,465.4,339.8,73,-40.7,-10.7,2021 to 2015
wet tropics,mulgrave,mulgrave,conservation,1999,1332.9,698.4,52.4,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,conservation,2009,1333.3,954.8,71.6,256.5,36.7,2009 to 1999
wet tropics,mulgrave,mulgrave,conservation,2015,1332.9,954.2,71.6,-0.7,-0.1,2015 to 2009
wet tropics,mulgrave,mulgrave,conservation,2021,1319.3,936.4,71,-17.8,-1.9,2021 to 2015
wet tropics,murray,murray,conservation,1999,1516.4,869.6,57.4,0,0,1999 to 1999
wet tropics,murray,murray,conservation,2009,1514.3,1100.4,72.7,230.8,26.5,2009 to 1999
wet tropics,murray,murray,conservation,2015,1514.9,1097.4,72.4,-3,-0.3,2015 to 2009
wet tropics,murray,murray,conservation,2021,1501.3,1086.2,72.4,-11.2,-1,2021 to 2015
wet tropics,russell,russell,conservation,1999,718.4,496.9,69.2,0,0,1999 to 1999
wet tropics,russell,russell,conservation,2009,695.6,497.4,71.5,0.5,0.1,2009 to 1999
wet tropics,russell,russell,conservation,2015,696.1,497.4,71.5,-0,-0,2015 to 2009
wet tropics,russell,russell,conservation,2021,670.3,474.1,70.7,-23.3,-4.7,2021 to 2015
wet tropics,tully,tully,conservation,1999,1718,511.1,29.8,0,0,1999 to 1999
wet tropics,tully,tully,conservation,2009,1711.8,1272.4,74.3,761.3,148.9,2009 to 1999
wet tropics,tully,tully,conservation,2015,1712.8,1272.2,74.3,-0.2,-0,2015 to 2009
wet tropics,tully,tully,conservation,2021,1684,1218.4,72.4,-53.8,-4.2,2021 to 2015
burdekin,burdekin,belyando,dryland agriculture,1999,36750.6,145.4,0.4,0,0,1999 to 1999
burdekin,burdekin,belyando,dryland agriculture,2009,36972.8,143,0.4,-2.4,-1.7,2009 to 1999
burdekin,burdekin,belyando,dryland agriculture,2016,36042.5,144.1,0.4,1.2,0.8,2016 to 2009
